Date	Speaker/Tutorial	Time
"Thursday, Aug. 31st"	Welcome! in SERC 604	4pm
"Thursday, Sept. 7th"	Open Coding	4pm
"Thursday, Sept. 14th"	Open Coding	4pm
"Thursday, Sept. 21st"	Presentation - Dr. Benjamin Seibold	4pm
"Thursday, Sept. 28th"	Presentation - Dr. Gillian Queisser	4pm
"Thursday, Oct. 5th"	Presentation - Dr. Hayan Lee	4pm
"Thursday, Oct. 12th"	Open Coding	4pm
"Thursday, Oct. 19th"	Open Coding	4pm
"Thursday, Oct. 26th"	Open Coding	4pm
"Thursday, Nov. 2nd"	Open Coding	4pm
"Thursday, Nov. 9th"	Presentation - Hannah Kim	4pm
"Thursday, Nov. 16th"	Open Coding	4pm
"Thursday, Nov. 31st"	Open Coding	4pm
"Thursday, Dec. 7th"	Open Coding	4pm
